// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 1,7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 2,9s and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 2 benchmarks:
//   BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
//   BenchMarkExecutorDatabase.GetCountryQueryable: DefaultJob

// **************************
// Benchmark: BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c3c2a05-3807-4016-82df-d80eb4d1fbde.dll" --benchmarkName "DALMentoring.Database.BenchMarkExecutorDatabase.GetCountryEnumerable" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  96: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  97: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  98: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  99: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadActual  100: 1 op, 23000.00 ns, 23.0000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadResult   2: 1 op, 28500.00 ns, 28.5000 us/op
WorkloadResult   3: 1 op, 28400.00 ns, 28.4000 us/op
WorkloadResult   4: 1 op, 23300.00 ns, 23.3000 us/op
WorkloadResult   5: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadResult   6: 1 op, 25200.00 ns, 25.2000 us/op
WorkloadResult   7: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult   8: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult   9: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  10: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  11: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  12: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  13: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadResult  14: 1 op, 26200.00 ns, 26.2000 us/op
WorkloadResult  15: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadResult  16: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  17: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadResult  18: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  19: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  20: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  21: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  22: 1 op, 23300.00 ns, 23.3000 us/op
WorkloadResult  23: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  24: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadResult  25: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  26: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  27: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  28: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  29: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  30: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadResult  31: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  32: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  33: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  34: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  35: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadResult  36: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  37: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  38: 1 op, 28000.00 ns, 28.0000 us/op
WorkloadResult  39: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  40: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  41: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  42: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  43: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadResult  44: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  45: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadResult  46: 1 op, 25200.00 ns, 25.2000 us/op
WorkloadResult  47: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  48: 1 op, 23700.00 ns, 23.7000 us/op
WorkloadResult  49: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  50: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  51: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  52: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  53: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  54: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  55: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  56: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadResult  57: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  58: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  59: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  60: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  61: 1 op, 25600.00 ns, 25.6000 us/op
WorkloadResult  62: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadResult  63: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  64: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  65: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  66: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadResult  67: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadResult  68: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult  69: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadResult  70: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  71: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadResult  72: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  73: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  74: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  75: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  76: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  77: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadResult  78: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  79: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadResult  80: 1 op, 23000.00 ns, 23.0000 us/op
GC:  0 0 0 2640 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 16664 has exited with code 0

Mean = 23.739 μs, StdErr = 0.186 μs (0.78%), N = 80, StdDev = 1.662 μs
Min = 22.400 μs, Q1 = 22.800 μs, Median = 23.000 μs, Q3 = 24.525 μs, Max = 31.600 μs
IQR = 1.725 μs, LowerFence = 20.212 μs, UpperFence = 27.113 μs
ConfidenceInterval = [23.104 μs; 24.374 μs] (CI 99.9%), Margin = 0.635 μs (2.68% of Mean)
Skewness = 2.27, Kurtosis = 8.93, MValue = 2.44

// **************************
// Benchmark: BenchMarkExecutorDatabase.GetCountryQueryable: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c3c2a05-3807-4016-82df-d80eb4d1fbde.dll" --benchmarkName "DALMentoring.Database.BenchMarkExecutorDatabase.GetCountryQueryable" --job "Default" --benchmarkId 1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 259600.00 ns, 259.6000 us/op
WorkloadJitting  1: 1 op, 534608000.00 ns, 534.6080 ms/op

WorkloadWarmup   1: 1 op, 70100.00 ns, 70.1000 us/op
WorkloadWarmup   2: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadWarmup   3: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadWarmup   4: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadWarmup   5: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadWarmup   6: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadWarmup   7: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadWarmup   8: 1 op, 21500.00 ns, 21.5000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 54900.00 ns, 54.9000 us/op
WorkloadActual   2: 1 op, 25500.00 ns, 25.5000 us/op
WorkloadActual   3: 1 op, 25600.00 ns, 25.6000 us/op
WorkloadActual   4: 1 op, 62900.00 ns, 62.9000 us/op
WorkloadActual   5: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadActual   6: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadActual   7: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual   8: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual   9: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  10: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  11: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadActual  12: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  13: 1 op, 120500.00 ns, 120.5000 us/op
WorkloadActual  14: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  15: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual  16: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  17: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadActual  18: 1 op, 27400.00 ns, 27.4000 us/op
WorkloadActual  19: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadActual  20: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadActual  21: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual  22: 1 op, 56600.00 ns, 56.6000 us/op
WorkloadActual  23: 1 op, 27400.00 ns, 27.4000 us/op
WorkloadActual  24: 1 op, 24200.00 ns, 24.2000 us/op
WorkloadActual  25: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadActual  26: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadActual  27: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadActual  28: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  29: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadActual  30: 1 op, 68900.00 ns, 68.9000 us/op
WorkloadActual  31: 1 op, 62300.00 ns, 62.3000 us/op
WorkloadActual  32: 1 op, 53600.00 ns, 53.6000 us/op
WorkloadActual  33: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadActual  34: 1 op, 25200.00 ns, 25.2000 us/op
